"reliability","strategy","rule","round","seed","method","draws","query","truth","estimate","error","fullWidth","covered","criteriaMet","allCriteriaMet","reason","batchMcse","spectralMcse","iidOracleMcse","iidOracleCovered","rHat","bulkEss","meanEss","tailEss","acceptance","pilotStatus","failureReasons"
"reliability","calibrated","legacy-batch","0","141011","fixed","2000","x","0.0","-0.0035420989204387743","-0.0035420989204387743","0.21070335348354718","true","false","false","FixedBudget","0.040900100249897466","0.04442739781641724","NaN","","1.0058622365823182","505.6391001896503","504.32068652808164","475.9749055814853","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","2000","xSquared","1.0","0.9953131004593851","-0.004686899540614853","0.3207643146467994","true","false","false","FixedBudget","0.06226428013006528","0.07291853639482018","NaN","","1.0013087131008116","669.148067591343","367.6267389614965","509.9930447909706","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","2000","xTail","0.045500263896358334","0.039875","-0.005625263896358333","0.04033283692147973","true","false","false","FixedBudget","0.007829097383493222","0.00916584996036979","NaN","","1.0052147507457458","455.7611232033551","455.7611232033551","455.7611232033551","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","2000","y","0.0","-0.018952665322510165","-0.018952665322510165","0.17321598222162637","true","false","false","FixedBudget","0.03362334258387669","0.040457199974975405","NaN","","1.0033331792654663","443.77256085621116","356.4587884494219","406.72800466425593","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","2000","ySquared","0.57","0.5837326814018031","0.01373268140180317","0.30579135319123063","true","false","false","FixedBudget","0.0593578450190625","0.06945874524182172","NaN","","1.0033452978606108","916.1096220281845","326.9858276759756","485.1386574664277","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","12000","x","0.0","-0.004876700687201918","-0.004876700687201918","0.10343513530371579","true","true","true","FixedBudget","0.020078025970355635","0.021571632250283856","NaN","","1.0015649078739233","2225.634057979185","2200.512315475084","2039.0954381213644","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","12000","xSquared","1.0","1.0239785473299654","0.023978547329965405","0.1717277894946111","true","true","true","FixedBudget","0.03333446615775543","0.038587717515465525","NaN","","1.0011231758673875","2859.3326851475927","1454.340623764557","1914.373260472119","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","12000","xTail","0.045500263896358334","0.04752083333333333","0.0020205694369749977","0.02242907640255336","true","true","true","FixedBudget","0.004353758296726272","0.005002216415641052","NaN","","1.0016755172090561","1808.9377702858726","1808.9377702858853","1808.9377702858853","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","12000","y","0.0","0.01227061556123632","0.01227061556123632","0.08818996163720912","true","true","true","FixedBudget","0.0171187511369064","0.019322218525862293","NaN","","1.0016752914273377","2278.8637293290644","1649.882179589549","1617.6675944706333","0.4459791666666667","Accepted",""
"reliability","calibrated","legacy-batch","0","141011","fixed","12000","ySquared","0.57","0.6161181595069024","0.046118159506902456","0.20082413629295623","true","true","true","FixedBudget","0.03898242325612702","0.04735472688476716","NaN","","1.0009617675204858","3566.2755235999116","999.9691403489974","1915.168160123555","0.4459791666666667","Accepted",""
